Latitude,Longitude,Magnitude,Event_Date
31.28518624,-103.6435974,1.305209839,2017-03-19
31.06667328,-103.3144742,1.256653702,2017-03-19
32.94891357,-100.8909346,1.37241789,2017-03-19
31.25256904,-103.6183813,0.861937,2017-03-19
32.85552979,-100.9509575,1.412740672,2017-03-19
31.43963286,-103.5298985,1.283483261,2017-03-19
31.1243444,-103.5053811,1.552476671,2017-03-19
31.45990671,-103.5340129,1.095532649,2017-03-20
31.39090749,-103.5041532,1.957187683,2017-03-20
31.3632113,-103.5052024,0.631077109,2017-03-20
31.13574684,-103.4435993,1.299225378,2017-03-20
32.50396729,-97.13521818,1.575963283,2017-03-20
31.320591,-103.5068763,1.985973996,2017-03-20
31.11883225,-103.5128762,1.354918763,2017-03-20
31.12154944,-103.4475859,1.39993353,2017-03-20
31.46813056,-103.5717852,1.215715322,2017-03-20
29.08538818,-97.73127298,2.035534338,2017-03-21
31.55903489,-103.4029749,1.666690691,2017-03-21
31.38080843,-103.5653347,1.160093605,2017-03-22
32.07550049,-102.2628859,1.898361425,2017-03-22
31.12940145,-103.5091246,2.34200967,2017-03-22
31.1698512,-103.5262365,1.293237059,2017-03-22
31.27094798,-103.4918963,1.19304508,2017-03-22
29.10186768,-97.73334099,1.870611686,2017-03-22
29.17877197,-97.77056526,2.396417571,2017-03-22
31.1556068,-103.540696,0.964584969,2017-03-23
31.49061691,-103.6539882,1.685985776,2017-03-23
31.53933748,-103.6486618,2.055909718,2017-03-23
31.1454942,-103.5321334,1.070968423,2017-03-23
32.48748779,-97.15451124,1.547389909,2017-03-23
31.43502642,-103.4998314,1.863758354,2017-03-23
31.40331055,-103.4918004,1.785845796,2017-03-24
31.37758952,-103.5819694,1.05682688,2017-03-24
31.13672443,-103.4577375,1.307031413,2017-03-25
30.8912826,-103.4355791,1.325821462,2017-03-26
31.44420578,-103.477272,1.245811212,2017-03-26
31.44514321,-103.5137868,0.866542866,2017-03-26
31.05078917,-103.6508771,1.465812227,2017-03-26
31.26315284,-103.5567528,0.970084936,2017-03-27
32.81341553,-100.9488138,0.399122389,2017-03-27
31.3679313,-103.5127517,1.354750389,2017-03-27
31.20651819,-103.3955282,0.913091987,2017-03-27
31.45618153,-103.5535237,0.678705076,2017-03-28
31.45893209,-103.5170025,1.148048569,2017-03-28
32.48748779,-97.15451124,0.444164621,2017-03-28
31.42355031,-103.5690953,1.681591517,2017-03-28
31.18968694,-103.8775446,1.503956094,2017-03-28
31.16998166,-103.8533841,1.391927733,2017-03-29
31.10913126,-103.6825031,1.434721171,2017-03-31
31.45250382,-103.5771536,1.862689655,2017-04-01
31.50253004,-103.4251,1.091063683,2017-04-01
31.12802203,-103.5075197,1.367206723,2017-04-01
31.12434736,-103.5128735,1.200282601,2017-04-02
32.97088623,-100.9037967,0.622862712,2017-04-02
31.50101298,-103.3278479,2.266920572,2017-04-02
31.39459609,-103.5524546,1.11994596,2017-04-02
31.01722159,-103.4471749,1.235807401,2017-04-04
31.15559997,-103.2125272,1.683446019,2017-04-04
31.52692886,-103.6481126,1.451198354,2017-04-05
31.36425019,-103.5020229,1.558241077,2017-04-05
31.52639529,-103.7238941,1.567347954,2017-04-05
31.17319267,-103.8560713,1.120752711,2017-04-05
31.42951747,-103.6050685,1.666549889,2017-04-05
31.41205402,-103.5180976,1.287287745,2017-04-06
31.41111445,-103.4762275,1.05107373,2017-04-06
32.53875732,-97.16737329,0.78505773,2017-04-06
31.20988204,-103.8883257,0.986687178,2017-04-06
31.2452125,-103.624807,1.344023512,2017-04-06
32.85369873,-100.9509575,0.28419389,2017-04-06
31.14027536,-103.3528224,1.941610273,2017-04-07
31.59470523,-103.8256685,1.561248938,2017-04-07
31.60148906,-103.8746363,1.39136818,2017-04-07
32.87567139,-100.888791,1.410895774,2017-04-07
31.40285394,-103.497705,1.440534519,2017-04-08
31.12914815,-103.2993268,1.247430293,2017-04-08
31.41389919,-103.5610421,1.133551404,2017-04-09
31.15882432,-103.5433722,1.203976914,2017-04-09
31.147496,-103.2821465,2.775723849,2017-04-10
31.15439786,-103.2858737,1.791155636,2017-04-10
31.44907244,-103.3242174,1.929480497,2017-04-10
31.1222356,-103.2902481,1.98233955,2017-04-10
31.4272249,-103.5347345,0.952396005,2017-04-10
31.19841517,-103.8791807,1.195259902,2017-04-10
30.99146618,-103.4279662,1.33628434,2017-04-10
32.95806885,-100.8823599,1.638727809,2017-04-10
32.00408936,-102.2435928,1.764153222,2017-04-11
31.26726105,-103.4747475,1.193766124,2017-04-11
32.83538818,-100.9531012,0.684045804,2017-04-12
31.21252018,-103.4185516,1.382997066,2017-04-13
31.03699587,-103.4615877,1.421936744,2017-04-13
31.39274539,-103.5030787,1.114392783,2017-04-13
31.46759541,-103.7001578,0.645637958,2017-04-13
31.38999212,-103.513814,1.606602025,2017-04-13
31.1803886,-103.4614387,1.118983114,2017-04-14
31.36884611,-103.5020201,1.473090801,2017-04-14
31.39826726,-103.5213241,1.624679823,2017-04-15
31.41664886,-103.5148745,0.78336891,2017-04-15
31.19420886,-103.52355,1.047186975,2017-04-15
31.22125533,-103.4212171,1.05333211,2017-04-15
31.58699953,-103.7670252,1.133858241,2017-04-15
31.414811920000002,-103.51917,1.192315688,2017-04-15
31.5314659,-103.7115407,1.572471077,2017-04-16
31.17167125,-103.4834008,1.18538944,2017-04-16
